Chr,tissue1,tissue2,clasif,dist1,dist2,trans all,nodes,links,CC_V_3,CC_V_4,CC_V_5,CC_V_6,CC_V_8,CC_V_+,CC_V_max,CC_V_aver,CC_E_3,CC_E_4,CC_E_5,CC_E_6,CC_E_8,CC_E_+,CC_E_max,CC_E_aver,BC_V_3,BC_V_4,BC_V_5,BC_V_6,BC_V_8,BC_V_+,BC_V_max,BC_V_aver,BC_E_3,BC_E_4,BC_E_5,BC_E_6,BC_E_8,BC_E_+,BC_E_max,BC_E_aver,SC_V_3,SC_V_4,SC_V_5,SC_V_6,SC_V_8,SC_V_+,SC_V_max,SC_V_aver,SC_E_3,SC_E_4,SC_E_5,SC_E_6,SC_E_8,SC_E_+,SC_E_max,SC_E_aver,CL_3,CL_4,CL_5,CL_6,CL_8,CL_+,CL_max,CL_aver,antiparalllelEdges,edgeTissues2,edgeTissues3,edgeTissues4,edgeTissues5,edgeTissues6,edgeTissues7,edgeTissues8,edgeTissues9,edgeTissues10,edgeTissues11,edgeTissues12,edgeTissues13,edgeTissues14,edgeTissues15,edgeTissues16
22,Mac2,nCD8,HSC,575,13,6705,0.662623,0.727218,0.0,0.006251,0.006251,0.002084,0.004167,0.020837,0.075014,0.016034,0.005209,0.006251,0.003126,0.002084,0.002084,0.020837,0.096893,0.018285,0.001042,0.007293,0.003126,0.001042,0.002084,0.009377,0.021879,0.008429,0.001042,0.007293,0.001042,0.002084,0.001042,0.01146,0.039591,0.012815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002084,0.0,0.0,0.0,0.0,0.0,0.003126,0.003126,0.001042,0.005209,0.01667,0.027088,0.050009,0.073972,0.113563,0.16253,0.220874,0.279219,0.36986,0.445916,0.54906,0.625116,0.68346,0.727218
22,Mac2,tCD8,HSC,575,13,6705,0.648596,0.700782,0.0,0.005325,0.003195,0.003195,0.001065,0.02343,0.058576,0.017477,0.005325,0.00213,0.00426,0.001065,0.0,0.02343,0.068161,0.019543,0.0,0.00639,0.001065,0.00426,0.00213,0.009585,0.015975,0.008371,0.0,0.00639,0.001065,0.0,0.005325,0.01065,0.02556,0.012152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003195,0.0,0.0,0.0,0.0,0.0,0.003195,0.003195,0.00639,0.01065,0.02343,0.040471,0.054316,0.078811,0.126737,0.171468,0.222589,0.272645,0.351456,0.418552,0.515469,0.595345,0.653921,0.700782
22,Mac2,nB,HSC,575,13,6705,0.65843,0.713599,0.0,0.003598,0.004797,0.003598,0.007196,0.01799,0.068362,0.018997,0.003598,0.004797,0.002399,0.001199,0.005997,0.019189,0.091149,0.02166,0.0,0.004797,0.002399,0.002399,0.004797,0.007196,0.028784,0.010062,0.0,0.004797,0.0,0.002399,0.002399,0.011993,0.055169,0.015519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005997,0.0,0.0,0.0,0.0,0.0,0.003598,0.003598,0.002399,0.009595,0.019189,0.040777,0.065963,0.095946,0.129527,0.169105,0.211082,0.257855,0.337011,0.400575,0.501319,0.592467,0.660829,0.713599
22,Mac2,tB,HSC,575,13,6705,0.648994,0.641633,0.0,0.002454,0.006134,0.004907,0.008588,0.018402,0.063795,0.016955,0.002454,0.006134,0.00368,0.00368,0.006134,0.018402,0.07729,0.01785,0.0,0.006134,0.002454,0.002454,0.00368,0.00368,0.02331,0.008833,0.0,0.006134,0.001227,0.001227,0.002454,0.007361,0.041712,0.012268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001227,0.0,0.0,0.0,0.0,0.0,0.00368,0.00368,0.006134,0.011041,0.02331,0.031898,0.051527,0.072383,0.106734,0.134951,0.170529,0.212242,0.276037,0.336152,0.435525,0.518949,0.585198,0.641633
22,Neu,MK,CMP,546,12,6705,0.498403,0.525884,0.0,0.006246,0.004997,0.001249,0.002498,0.01499,0.053713,0.017013,0.003747,0.007495,0.001249,0.002498,0.001249,0.01374,0.081194,0.019574,0.0,0.003747,0.0,0.001249,0.002498,0.007495,0.021235,0.01093,0.0,0.003747,0.0,0.0,0.0,0.011242,0.039972,0.017275,0.001249,0.0,0.0,0.0,0.0,0.0,0.003747,0.003747,0.0,0.001249,0.0,0.0,0.0,0.0,0.004997,0.004997,0.008744,0.0,0.0,0.0,0.0,0.0,0.003747,0.003747,0.003747,0.016239,0.038723,0.062457,0.099931,0.14365,0.186121,0.217349,0.243581,0.262318,0.301041,0.343511,0.400971,0.442193,0.477168,0.525884
22,Neu,EP,CFU-GM,546,12,6705,0.425089,0.481546,0.0,0.002214,0.003321,0.002214,0.003321,0.012177,0.047601,0.017026,0.001107,0.003321,0.003321,0.0,0.003321,0.012177,0.078597,0.020823,0.0,0.004428,0.002214,0.001107,0.001107,0.006642,0.029889,0.009731,0.0,0.004428,0.0,0.002214,0.001107,0.007749,0.060885,0.015974,0.001107,0.0,0.0,0.0,0.0,0.0,0.003321,0.003321,0.0,0.001107,0.0,0.0,0.0,0.0,0.004428,0.004428,0.008856,0.0,0.0,0.0,0.0,0.0,0.003321,0.003321,0.014391,0.038745,0.064206,0.083025,0.115128,0.156087,0.189297,0.221401,0.24022,0.260146,0.280072,0.319924,0.366418,0.405163,0.431731,0.481546
22,Neu,Ery,CMP,546,12,6705,0.561716,0.634155,0.0,0.003813,0.005083,0.001271,0.001271,0.016521,0.07498,0.023168,0.002542,0.006354,0.001271,0.0,0.001271,0.016521,0.099126,0.027501,0.0,0.007625,0.002542,0.001271,0.0,0.010167,0.0305,0.011133,0.0,0.007625,0.0,0.003813,0.0,0.010167,0.054647,0.017118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008896,0.0,0.0,0.0,0.0,0.0,0.003813,0.003813,0.021604,0.049563,0.069897,0.096585,0.135981,0.172836,0.221128,0.263066,0.297379,0.335505,0.381255,0.428277,0.490549,0.543924,0.58205,0.634155
22,Neu,FoeT,HSC,575,13,6705,0.48515,0.474936,0.0,0.010214,0.001702,0.008511,0.005107,0.018725,0.035748,0.015712,0.006809,0.003405,0.008511,0.003405,0.003405,0.018725,0.044259,0.016563,0.001702,0.008511,0.003405,0.0,0.005107,0.003405,0.02213,0.010214,0.001702,0.008511,0.0,0.003405,0.0,0.008511,0.03745,0.013618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001702,0.0,0.0,0.0,0.0,0.0,0.005107,0.005107,0.020427,0.032343,0.03745,0.056175,0.069793,0.090221,0.105541,0.117457,0.137885,0.177037,0.222999,0.265556,0.316624,0.362585,0.408547,0.474936
22,Neu,nCD4,HSC,575,13,6705,0.496442,0.523611,0.0,0.008645,0.001235,0.001235,0.00247,0.019759,0.034578,0.015276,0.008645,0.0,0.00247,0.001235,0.00247,0.018524,0.046927,0.01766,0.001235,0.003705,0.00247,0.0,0.003705,0.00741,0.020994,0.01046,0.001235,0.003705,0.0,0.00247,0.0,0.011114,0.035813,0.015721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001235,0.0,0.0,0.0,0.0,0.0,0.003705,0.003705,0.00494,0.008645,0.017289,0.027168,0.049397,0.08274,0.113614,0.148192,0.176595,0.217348,0.261805,0.314907,0.381594,0.439635,0.474213,0.523611
22,Neu,tCD4,HSC,575,13,6705,0.526737,0.552465,0.0,0.008124,0.005416,0.002708,0.005416,0.017603,0.037914,0.014936,0.00677,0.005416,0.002708,0.002708,0.005416,0.016249,0.054163,0.017143,0.0,0.008124,0.002708,0.001354,0.001354,0.008124,0.020311,0.010494,0.0,0.008124,0.0,0.002708,0.001354,0.009479,0.03656,0.015572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004062,0.010833,0.021665,0.035206,0.056871,0.093432,0.116451,0.146241,0.170614,0.211237,0.2654,0.318209,0.388621,0.450909,0.49424,0.552465
